abv_range,abv_strength,family_name,ibu_range,ibu_strength,style_URL,style_id,style_name
7.0–12.0%,4,India Pale Ales,65–100,5,https://www.beeradvocate.com/beer/styles/140/,27,American Imperial IPA
5.5–7.5%,3,India Pale Ales,50–70,5,https://www.beeradvocate.com/beer/styles/116/,28,American IPA
6.0-11.0%,3,India Pale Ales,50–80,5,https://www.beeradvocate.com/beer/styles/174/,29,Belgian IPA
4.5–7.0%,2,India Pale Ales,35–60,5,https://www.beeradvocate.com/beer/styles/150/,30,English India Pale Ale (IPA)
6.3–7.5%,3,India Pale Ales,50–70,5,https://www.beeradvocate.com/beer/styles/189/,31,New England IPA
4.4–6.1%,2,Pale Ales,25–45,3,https://www.beeradvocate.com/beer/styles/128/,32,American Amber Red Ale
4.1–5.1%,2,Pale Ales,15–25,2,https://www.beeradvocate.com/beer/styles/99/,33,American Blonde Ale
4.5–6.5%,2,Pale Ales,25–50,4,https://www.beeradvocate.com/beer/styles/97/,34,American Pale Ale (APA)
6.3–7.9%,3,Pale Ales,15–30,3,https://www.beeradvocate.com/beer/styles/190/,35,Belgian Blonde Ale
4.5–7.0%,2,Pale Ales,20–30,3,https://www.beeradvocate.com/beer/styles/54/,36,Belgian Pale Ale
4.4–8.4%,3,Pale Ales,20–38,3,https://www.beeradvocate.com/beer/styles/129/,37,Belgian Saison
3.0–5.0%,2,Pale Ales,20–35,3,https://www.beeradvocate.com/beer/styles/98/,38,English Bitter
4.0–7.0%,2,Pale Ales,20–40,3,https://www.beeradvocate.com/beer/styles/66/,39,English Extra Special Strong Bitter (ESB)
3.8–6.0%,2,Pale Ales,20–40,3,https://www.beeradvocate.com/beer/styles/154/,40,English Pale Ale
3.0–5.0%,2,Pale Ales,15–25,2,https://www.beeradvocate.com/beer/styles/76/,41,English Pale Mild Ale
4.4–8.0%,3,Pale Ales,20–30,3,https://www.beeradvocate.com/beer/styles/127/,42,French Bière de Garde
4.0–6.0%,2,Pale Ales,18–25,3,https://www.beeradvocate.com/beer/styles/85/,43,German Kölsch
4.0–6.0%,2,Pale Ales,20–30,3,https://www.beeradvocate.com/beer/styles/161/,44,Irish Red Ale
4.0-6.0%,2,Pilseners and Pale Lagers,8-18,2,https://www.beeradvocate.com/beer/styles/38/,45,American Adjunct Lager
6.5-9.0%,3,Pilseners and Pale Lagers,30-65,5,https://www.beeradvocate.com/beer/styles/164/,46,American Imperial Pilsner
4.1-5.1%,2,Pilseners and Pale Lagers,30-45,4,https://www.beeradvocate.com/beer/styles/155/,47,American Lager
2.5-5.0%,1,Pilseners and Pale Lagers,8-12,1,https://www.beeradvocate.com/beer/styles/39/,48,American Light Lager
6.0-9.0%,3,Pilseners and Pale Lagers,10-30,2,https://www.beeradvocate.com/beer/styles/42/,49,American Malt Liquor
4.1-5.1%,2,Pilseners and Pale Lagers,30-45,4,https://www.beeradvocate.com/beer/styles/40/,50,Bohemian Pilsener
5.1-6.1%,2,Pilseners and Pale Lagers,23-29,3,https://www.beeradvocate.com/beer/styles/20/,51,European Export Dortmunder
4.0-6.0%,2,Pilseners and Pale Lagers,18-25,3,https://www.beeradvocate.com/beer/styles/37/,52,European Pale Lager
7.0–12.0%,4,Pilseners and Pale Lagers,15–40,3,https://www.beeradvocate.com/beer/styles/43/,53,European Strong Lager
4.8-5.6%,2,Pilseners and Pale Lagers,18-25,3,https://www.beeradvocate.com/beer/styles/21/,54,German Helles
4.0-7.0%,2,Pilseners and Pale Lagers,20-40,3,https://www.beeradvocate.com/beer/styles/131/,55,German Kellerbier Zwickelbier
4.6-5.3%,2,Pilseners and Pale Lagers,25-40,3,https://www.beeradvocate.com/beer/styles/41/,56,German Pilsner
7.0–12.0%,4,Porters,35–50,4,https://www.beeradvocate.com/beer/styles/192/,57,American Imperial Porter
4.0–7.0%,2,Porters,20–40,3,https://www.beeradvocate.com/beer/styles/159/,58,American Porter
7.0–10.0%,3,Porters,25–45,3,https://www.beeradvocate.com/beer/styles/80/,59,Baltic Porter
4.5–7.0%,2,Porters,20–30,3,https://www.beeradvocate.com/beer/styles/101/,60,English Porter
5.1–6.6%,2,Porters,25–40,3,https://www.beeradvocate.com/beer/styles/193/,61,Robust Porter
5.1–8.9%,3,Porters,20–40,3,https://www.beeradvocate.com/beer/styles/194/,62,Smoke Porter
4.5-6.0%,2,Specialty Beers,0-0,5,https://www.beeradvocate.com/beer/styles/163/,63,Chile Beer
6.0-11.0%,3,Specialty Beers,0-0,5,https://www.beeradvocate.com/beer/styles/148/,64,Finnish Sahti
2.5-13.3%,3,Specialty Beers,5-45,3,https://www.beeradvocate.com/beer/styles/9/,65,Fruit and Field Beer
2.5-12.0%,3,Specialty Beers,5-40,3,https://www.beeradvocate.com/beer/styles/8/,66,Herb and Spice Beer
4.0-7.0%,2,Specialty Beers,0-0,5,https://www.beeradvocate.com/beer/styles/168/,67,Japanese Happoshu
3.6-6.5%,2,Specialty Beers,6-18,2,https://www.beeradvocate.com/beer/styles/169/,68,Japanese Rice Lager
0.1-1.0%,4,Specialty Beers,10-20,2,https://www.beeradvocate.com/beer/styles/5/,69,Low Alcohol Beer
2.3-12.0%,3,Specialty Beers,5-70,4,https://www.beeradvocate.com/beer/styles/72/,70,Pumpkin Beer
0.5-2.5%,1,Specialty Beers,0-0,5,https://www.beeradvocate.com/beer/styles/173/,71,Russian Kvass
4.0-7.0%,2,Specialty Beers,10-80,4,https://www.beeradvocate.com/beer/styles/12/,72,Rye Beer
4.0-6.0%,2,Specialty Beers,0-0,5,https://www.beeradvocate.com/beer/styles/70/,73,Scottish Gruit Ancient Herbed Ale
4.5-7.0%,2,Specialty Beers,20-30,3,https://www.beeradvocate.com/beer/styles/11/,74,Smoke Beer
7.0-12.0%,4,Stouts,50-80,5,https://www.beeradvocate.com/beer/styles/157/,75,American Imperial Stout
5.7-8.9%,3,Stouts,35-60,5,https://www.beeradvocate.com/beer/styles/158/,76,American Stout
3.8-6.1%,2,Stouts,20-40,3,https://www.beeradvocate.com/beer/styles/69/,77,English Oatmeal Stout
4.0-7.0%,2,Stouts,20-40,3,https://www.beeradvocate.com/beer/styles/13/,78,English Stout
3.2-6.3%,2,Stouts,15-25,2,https://www.beeradvocate.com/beer/styles/82/,79,English Sweet Milk Stout
5.5-8.0%,3,Stouts,30-70,5,https://www.beeradvocate.com/beer/styles/95/,80,Foreign Export Stout
4.2-5.3%,2,Stouts,30-40,3,https://www.beeradvocate.com/beer/styles/162/,81,Irish Dry Stout
8.0-12.0%,4,Stouts,50-90,5,https://www.beeradvocate.com/beer/styles/84/,82,Russian Imperial Stout
8.5–15%,4,Strong Ales,60–100,5,https://www.beeradvocate.com/beer/styles/19/,83,American Barleywine
8.0–10.6%,4,Strong Ales,55–85,5,https://www.beeradvocate.com/beer/styles/191/,84,American Imperial Red Ale
7.0–20%,4,Strong Ales,40–100,5,https://www.beeradvocate.com/beer/styles/78/,85,American Strong Ale
8.5–12.2%,4,Strong Ales,45–85,5,https://www.beeradvocate.com/beer/styles/60/,86,American Wheatwine Ale
9.0–14.0%,4,Strong Ales,25–50,4,https://www.beeradvocate.com/beer/styles/142/,87,Belgian Quadrupel (Quad)
7.0–12.0%,4,Strong Ales,25–50,4,https://www.beeradvocate.com/beer/styles/56/,88,Belgian Strong Dark Ale
7.0–12.0%,4,Strong Ales,20–40,3,https://www.beeradvocate.com/beer/styles/55/,89,Belgian Strong Pale Ale
8.0–12.0%,4,Strong Ales,20–40,3,https://www.beeradvocate.com/beer/styles/58/,90,Belgian Tripel
8.5–12.2%,4,Strong Ales,40–60,5,https://www.beeradvocate.com/beer/styles/152/,91,British Barleywine
6.0–12.0%,4,Strong Ales,30–65,5,https://www.beeradvocate.com/beer/styles/79/,92,English Old Ale
5.5–11.0%,3,Strong Ales,40–60,5,https://www.beeradvocate.com/beer/styles/165/,93,English Strong Ale
6.6-8.5%,3,Strong Ales,25-35,3,https://www.beeradvocate.com/beer/styles/77/,94,Scotch Ale Wee Heavy
4.0–8.0%,3,Wheat Beers,10–35,3,https://www.beeradvocate.com/beer/styles/94/,95,American Dark Wheat Ale
4.0–7.0%,2,Wheat Beers,10–35,3,https://www.beeradvocate.com/beer/styles/93/,96,American Pale Wheat Ale
4.0–7.0%,2,Wheat Beers,10–20,2,https://www.beeradvocate.com/beer/styles/48/,97,Belgian Witbier
2.8–3.4%,1,Wheat Beers,3–6,5,https://www.beeradvocate.com/beer/styles/87/,98,Berliner Weisse
4.0–7.0%,2,Wheat Beers,10–15,2,https://www.beeradvocate.com/beer/styles/91/,99,German Dunkelweizen
4.0–7.0%,2,Wheat Beers,10–15,2,https://www.beeradvocate.com/beer/styles/89/,100,German Hefeweizen
4.0–7.0%,2,Wheat Beers,10–15,2,https://www.beeradvocate.com/beer/styles/90/,101,German Kristalweizen
6.0-9.0%,3,Wild Sour Beers,0-0,5,https://www.beeradvocate.com/beer/styles/198/,102,American Brett
6.0-10.0%,3,Wild Sour Beers,5-30,2,https://www.beeradvocate.com/beer/styles/171/,103,American Wild Ale
2.0-5.0%,1,Wild Sour Beers,0-10,1,https://www.beeradvocate.com/beer/styles/15/,104,Belgian Faro
5.0-8.9%,3,Wild Sour Beers,15-21,2,https://www.beeradvocate.com/beer/styles/10/,105,Belgian Fruit Lambic
5.0-8.0%,3,Wild Sour Beers,0-10,1,https://www.beeradvocate.com/beer/styles/14/,106,Belgian Gueuze
5.0-6.5%,2,Wild Sour Beers,0-10,1,https://www.beeradvocate.com/beer/styles/50/,107,Belgian Lambic
4.0-8.0%,3,Wild Sour Beers,20-25,3,https://www.beeradvocate.com/beer/styles/52/,108,Flanders Oud Bruin
4.6-6.5%,2,Wild Sour Beers,10-25,2,https://www.beeradvocate.com/beer/styles/53/,109,Flanders Red Ale
4.4-5.4%,2,Wild Sour Beers,10-15,2,https://www.beeradvocate.com/beer/styles/16/,110,Leipzig Gose
